,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2023-05-10 09:00:00+02:00,108.3000030517578,108.3000030517578,107.9499969482422,108.0,0,0.0,0.0
1,2023-05-10 09:01:00+02:00,108.0,108.0999984741211,107.9499969482422,108.0,913,0.0,0.0
2,2023-05-10 09:02:00+02:00,108.0500030517578,108.0500030517578,107.9499969482422,108.0,1372,0.0,0.0
3,2023-05-10 09:03:00+02:00,108.0,108.0,107.9000015258789,107.9000015258789,713,0.0,0.0
4,2023-05-10 09:04:00+02:00,107.9499969482422,107.9499969482422,107.9000015258789,107.9499969482422,92,0.0,0.0
5,2023-05-10 09:05:00+02:00,108.0500030517578,108.0500030517578,107.9499969482422,107.9499969482422,85,0.0,0.0
6,2023-05-10 09:06:00+02:00,108.0,108.0,108.0,108.0,97,0.0,0.0
7,2023-05-10 09:08:00+02:00,107.9000015258789,107.9000015258789,107.9000015258789,107.9000015258789,3,0.0,0.0
8,2023-05-10 09:09:00+02:00,107.9499969482422,108.0,107.9499969482422,107.9499969482422,827,0.0,0.0
9,2023-05-10 09:10:00+02:00,107.9000015258789,107.9499969482422,107.9000015258789,107.9499969482422,92,0.0,0.0
10,2023-05-10 09:11:00+02:00,107.9499969482422,108.1999969482422,107.9499969482422,108.1999969482422,974,0.0,0.0
11,2023-05-10 09:12:00+02:00,108.1999969482422,108.1999969482422,108.1500015258789,108.1500015258789,1922,0.0,0.0
12,2023-05-10 09:13:00+02:00,108.1999969482422,108.1999969482422,108.1999969482422,108.1999969482422,161,0.0,0.0
13,2023-05-10 09:14:00+02:00,108.25,108.25,108.25,108.25,231,0.0,0.0
14,2023-05-10 09:15:00+02:00,108.25,108.25,108.1500015258789,108.1500015258789,207,0.0,0.0
15,2023-05-10 09:17:00+02:00,108.0999984741211,108.0999984741211,107.9499969482422,107.9499969482422,496,0.0,0.0
16,2023-05-10 09:19:00+02:00,108.0500030517578,108.0500030517578,108.0,108.0,324,0.0,0.0
17,2023-05-10 09:20:00+02:00,108.0500030517578,108.0999984741211,108.0500030517578,108.0999984741211,903,0.0,0.0
18,2023-05-10 09:22:00+02:00,108.0999984741211,108.0999984741211,108.0999984741211,108.0999984741211,788,0.0,0.0
19,2023-05-10 09:25:00+02:00,108.0500030517578,108.0999984741211,108.0500030517578,108.0999984741211,218,0.0,0.0
